Time,Neck joint Bend Front/Back,Neck joint Twist Left/Right,Neck joint Lean Right/Left,Lumbar joint Bend Front/Back,Lumbar joint Twist Left/Right,Lumbar joint Lean Right/Left,Right shoulder Flex/Ext,Right shoulder Abd/Add,Right shoulder Int/Ext,Right elbow Flex/Ext,Right elbow Val/Var,Right elbow Int/Ext,Right wrist Abd/Add,Right wrist Flex/Ext,Right wrist Int/Ext,Right hip Flex/Ext,Right hip Abd/Add,Right hip Int/Ext,Right knee Flex/Ext,Right knee Varus/Valgus,Right knee Int/Ext,Right ankle Plantar/Dorsi,Right ankle Int/Ext,Right ankle Sup/Pro,Left shoulder Flex/Ext,Left shoulder Abd/Add,Left shoulder Int/Ext,Left elbow Flex/Ext,Left elbow Val/Var,Left elbow Int/Ext,Left wrist Abd/Add,Left wrist Flex/Ext,Left wrist Int/Ext,Left hip Flex/Ext,Left hip Abd/Add,Left hip Int/Ext,Left knee Flex/Ext,Left knee Varus/Valgus,Left knee Int/Ext,Left ankle Plantar/Dorsi,Left ankle Int/Ext,Left ankle Sup/Pro,
0,19.4488,-2.9923,-5.3368,8.2685,-1.9829,0.56383,6.9866,18.4687,-99.201,5.0556,159.3333,-97.7896,7.9514e-16,165.9638,-90,6.4605e-15,44.7788,0,3.0812e-15,0,0,-1.1927e-15,-172.1782,0,7.1685,1.0813,90.0895,1.1666,-117.5767,100.1802,9.9392e-17,-104.0362,0,6.4605e-15,-44.7788,0,3.0812e-15,0.92405,0,-4.9696e-16,162.0768,0,
0.1,19.4545,-3.0206,-5.2938,8.3145,-1.9628,0.5731,7.0235,18.2372,-99.1662,5.0553,159.0877,-97.7458,0,90,-90,0,180,0,0,0,0,-1.3915e-15,-158.4416,0,7.1765,1.0776,90.088,1.1986,-117.7911,100.1906,4.9696e-17,-180,0,0,180,0,0,0,0,-1.4909e-15,159.7454,0,
0.2,19.5356,-3.0597,-5.2687,8.3419,-1.9276,0.56326,7.0312,18.0424,-99.157,5.0606,158.7627,-97.7261,0,-90,-90,6.3611e-15,-0.44761,0,3.2799e-15,44.5626,0,-5.9635e-16,97.6957,0,7.2059,1.0865,90.0416,1.1818,-117.7585,100.2263,2.4848e-16,-180,0,6.4605e-15,-0.44073,0,3.1806e-15,-44.5489,0,-5.9635e-16,-115.8238,0,
0.3,19.537,-3.0546,-5.3228,8.3517,-1.932,0.57319,7.0505,18.0397,-99.2295,5.0439,158.6866,-97.7043,0,90,-90,-6.3611e-15,135.4511,0,0,90,0,9.9392e-17,-77.1913,0,7.2103,0.92341,90.004,1.1947,-118.0067,100.211,1.4909e-16,-97.125,0,-6.3611e-15,-135.4511,0,0,-90,0,2.9818e-16,55.6325,0,
0.4,19.5263,-3.0988,-5.3171,8.3604,-1.9316,0.58726,7.0608,17.8987,-99.241,5.0206,158.8833,-97.664,0,0,-90,-6.3611e-15,135.2247,0,0,90,0,-5.9635e-16,99.0421,0,7.235,0.5598,89.9464,1.2043,-118.1545,100.1941,3.4787e-16,-180,0,-6.3611e-15,-135.2247,0,0,-90,0,-8.9453e-16,-147.6739,0,
0.5,19.5384,-3.1348,-5.3175,8.3415,-1.9416,0.60628,7.0882,17.5245,-99.2903,5.0086,158.6494,-97.6654,7.9514e-16,153.4349,-90,0,-90,0,-3.0812e-15,-134.5416,0,6.9575e-16,69.465,0,7.259,0.33473,89.8662,1.2126,-118.1786,100.1785,9.9392e-17,-180,0,0,90,0,-3.0812e-15,134.5416,0,4.9696e-16,-84.3655,0,
0.6,19.508,-3.19,-5.3049,8.3342,-1.9271,0.59695,7.1169,16.9814,-99.3161,5.01,158.3414,-97.6821,0,-90,-90,6.3611e-15,-0.44761,0,0,90,0,8.9453e-16,76.4826,0,7.2862,0.3847,89.8368,1.213,-118.2708,100.1988,1.4909e-16,-110.556,0,6.3611e-15,0.44761,0,0,-90,0,1.0933e-15,-26.3367,0,
0.7,19.4778,-3.2537,-5.2832,8.3399,-1.8874,0.58036,7.142,16.5371,-99.3886,4.9996,158.2297,-97.6827,0,-90,-90,-6.4605e-15,180,0,-3.2799e-15,-135,0,1.8885e-15,-43.8527,0,7.3231,0.43332,89.8129,1.1991,-118.1878,100.2116,2.4848e-16,-122.0054,0,-6.2617e-15,179.5453,0,-3.2799e-15,134.5692,0,7.9514e-16,66.4014,0,
0.8,19.4336,-3.3273,-5.2022,8.369,-1.85,0.56982,7.1526,16.3685,-99.4251,4.9822,158.441,-97.6616,7.9514e-16,159.444,-90,6.4605e-15,-44.5559,0,0,90,0,7.9514e-16,73.6323,0,7.3432,0.52144,89.845,1.2246,-118.2712,100.1865,-1.9878e-16,0,0,6.3611e-15,45.2229,0,0,-90,0,5.9635e-16,-77.5722,0,
0.9,19.4489,-3.4297,-5.1455,8.394,-1.8073,0.54038,7.1559,16.1809,-99.4488,4.9931,158.3763,-97.657,7.9514e-16,-153.4349,-90,6.3611e-15,-44.7753,0,3.1806e-15,-0.89517,0,-1.4909e-15,-159.261,0,7.374,0.46807,89.844,1.1966,-118.1916,100.219,0,90,0,6.3611e-15,44.7753,0,3.1806e-15,1.7899,0,-5.9635e-16,-93.7985,0,
